status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
354821057967236_1215458051903528,"#s40316
SG Mình mới học đc 2 sem thôi mà hơi bất ngờ là trường mình cũng có nạn ăn cắp như bao trường khác. Đã vô đây học đồng nghĩa vs việc kt gđ ít nhất cũng vừa đủ điều kiện r mà k hiểu vẫn có vài thành phần ăn cắp vặt cho đc nhỉ :)) mình viết cho đỡ bức xúc vì hqua để quên bóp trong wc nửa tiếng sau sực nhớ quay lại thì bóp chỉ còn 4k lẻ và nằm trong thùng rác hihi",,status,,2017-02-23 08:59:34,28,4,2,26,2,0,0,0,0
354821057967236_1215457515236915,"#s40315
Sg to Mel
Cho mình hỏi giáo viên bên RMIT Melbourne dạy có khác gì với RMIT Vietnam không?
Mình thấy ở Rmit Vn, giáo viên dạy chỉ đọc slide thôi. Mình tiếc tiền học phí quá nên muốn chuyển qua Úc ( biết đâu bên đó Gv dạy khác)",,status,,2017-02-23 08:58:18,21,4,0,21,0,0,0,0,0
354821057967236_1215457258570274,"#s40314
SGS 

Tôi - RMITer-97-sem 2
Anh - Công An Giao Thông huyện tôi ở- 1989- công tác 8 năm 
Tôi phải mất 2.5 năm hoàn thành đh, gđ mong tôi học MBA 3 năm bên Úc, làm việc kiếm exp 2 năm. Tổng cộng 7.5 năm nữa tôi mới về quê. 
Tôi và anh yêu nhau từ năm tôi học lớp 10 - nghĩa là 4 năm rồi. Chúng tôi luôn xác định tương lai về 1 nhà. Bố tôi khó nên tôi chỉ ra mắt đc gđinh anh. Gđinh a luôn mong muốn đám hỏi vào năm nay vì anh đã đến tuổi lấy vợ. Nhà tôi thì khó. Tôi chưa từng công khai với nhà tôi. Ba anh bảo đem đồ xuống hỏi tôi, tôi khóc, ôm anh tôi khóc. Tôi khóc vì chẳng phải tôi ko muốn, mà tôi sợ nhà tôi không chấp nhận vì tôi đang đi học. Tôi sợ vì vậy mà nhà anh ép anh cưới vợ và ko cho quen tôi nữa. Nhưng anh đã thuyết phụcgia đình để tôi học xong rồi hẳn tính. Anh sẽ chờ thêm cho đến khi tôi tốt nghiệp đại học. Tôi học Rmit sem thứ 2, anh cũng lớn tuổi, bạn bè đều vơ con. Anh với tôi vẫn chưa công khai với gia đình tôi .... anh chuẩn bị nhận chức đội phó, tôi mừng thầm. Nhưng chẳng hiểu tại sao tôi nói về việc học MBA của tôi và tương lai hai đứa. Anh bảo "" vậy năm em 28 mới cưới nhau, anh đã 36 rồi sao ? "" anh bảo :"" nếu em quyết định đi du học thì mình cùng nhau giải quyết. Không phải anh khôg thương ko yêu em. Mà là anh phải tính cho cả tương lai của cả hai. Việc gì cũng có định mức của nó"". Tôi hiểu rằng nếu tôi đi du học thì tất nhiên tôi phải nhường anh lại cho cô gái khác. Nhưng nếu tôi ko học MBA sau khi ra trường thì tôi đã ko thực hiện lời hứa với bố tôi..... tôi thương anh rất nhiều. Anh cũng vậy. Anh lớn hơn toi 8 tuổi... anh bảo anh chẳng muốn ép tôi làm việc j ảnh hưởng tới việc học. Nhưng mà tôi phải biết con dường nào tôi cần và phải tính toán cho kĩ. Anh ko chắc về chuyện chúng tôi nếu tôi đi du học.... tôi khá buồn. Vì nếu tôi để anh đợi thì thanh xuân của cả hai sẽ đi về đâu. Yêu xa đã khổ. Tôi chẳng muốn anh phải đau đầu thêm việc gì. Tôi thương cả những đêm anh làm tới 1-2h sáng vì tai nạn. Tôi chả biết cagt ở đâu là xấu xa. Nhưng cagt quê tôi dân thương lắm. Anh cũng vậy. Anh làm cả ngày cả đêm. Nhiệt tình. Không ăn nhậu dơ bẩn. Tôi hiểu rõ tính anh. Chẳng phải vì ngiu mình nên mới khen. Nhưng nhìu lúc tôi với anh đang hẹn hò thì đùng 1 cái phải trả tôi về nhà rồi bận đồ công an vào đi làm tai nạn. Đi hỗ trợ bắt tội phạm. Đi tuần tra ! Yêu nhau cảm thông cho công việc của nhau đã rất khó. Đàng này lại như vậy. Tôi luôn tự hỏi làm sao thoát khỏi cái vòng như vầy ..... 
*ânh dc nhiều ng theo đuổi. Chứ chăneg riêng j tôi. Có người còn đòi cưới anh. Nhưng anh vẫn quyết định đợi tôi. Có phải tôi nên để anh đi ....tôi làm mất thanh xuân của anh chăng ?",,status,,2017-02-23 08:57:48,37,15,1,32,1,0,0,4,0
354821057967236_1215456838570316,"#s40313
SG
500 anh em có ai biết chỗ nào dạy tiếng Trung tốt, phát âm chuẩn (người bản xứ được thì càng tốt) thì cho mình xin địa chỉ với? Tìm trên google thấy hoang mang quá :<",,status,,2017-02-23 08:56:56,20,11,0,20,0,0,0,0,0
354821057967236_1215456275237039,"#s40312
Mel (Gấp,  ad đăng giúp mình không hết hạn nộp hồ sơ) 
Mình có dự định chuyển tiếp qua Mel.  Mấy bạn ở Mel tư vấn giúp mình với:
1. Có dễ kiếm được công việc làm thêm ở Melbourne không? Số tiền đó có thể chi trả 1 nửa sinh hoạt phí? 
2. Nếu mình muốn đưa người thân (ba/mẹ)  đi cùng, mình có thể hỏi thông tin ở đâu,  hay bạn nào biết thủ tục và địa điểm như thế nào,  chỉ giúp mình với. 
Cảm ơn mấy bạn nhiều.",,status,,2017-02-23 08:55:59,14,1,0,14,0,0,0,0,0
354821057967236_1215455795237087,"#s40311
SG
Mình là nữ ạ. Mình và bạn trai chia tay nhau được tầm 2 tháng thì anh ấy nói muốn quay lại vì thấy còn tình cảm nhiều mặc dù anh ấy là người nhẫn tâm bỏ rơi mình trước. Mình yêu anh ấy nên bỏ qua tất cả nhưng mình không biết đó có phải là quay lại yêu nhau thật sự ko vì cầu nối giữa hai chỉ có sex. Vừa quay lại với nhau thì have sex, ngày nào gặp nhau cũng have sex. Kiểu cảm thấy mình với ảnh là many nights stand vậy. Chẳng biết mọi người có thấy kì hay trái với đạo đức gì ko khi cứ quan hệ với bạn trai (cũ) như vậy?",,status,,2017-02-23 08:54:54,78,21,2,63,0,2,7,5,1
354821057967236_1215454938570506,"#s40310
SG 
con gái tập đc môn gì trong phòng tập gym rmit vậy mấy chế",,status,,2017-02-23 08:53:16,16,3,0,14,2,0,0,0,0
354821057967236_1215419401907393,"#s40309
[sg]
Chào mọi người, hiện tại sem trước, em đã học xong 24 môn trong RMIT, và nghe bạn bè, anh chị đã đậu trc đó bảo với em là sau khi hoàn tất 24 môn học, trường sẽ gửi 1 mail báo mình đã hấp xong chương trình, nhưng sao hiện tại em vẫn ko nhận dc mail gì của trường ạ :(

Không biết có ai trải qua tình trạng này chưa, nếu có, thì cho em xin kinh nghiệm với ạ, em cám ơn.",,status,,2017-02-23 08:04:25,23,1,0,23,0,0,0,0,0
354821057967236_1215418055240861,"#s40308
[SG]

Chào các bạn :)
Hôm nay mình lên đây muốn trình bày vấn đề của mình và mong là các bạn có thể giúp mình được. Hiện tại gia đình đã bị phá sản và ba mẹ mình lên đây sống với anh chị mình. Thực sự, anh chị của mình không hề coi ba mẹ mình là ba mẹ của họ nữa. Họ khinh thường và dường như coi ba mẹ mình là người ở đợ nhà họ. Mình rất bức xúc và khóc không thành tiếng vì không thể giải quyết được gì giúp ba mẹ. Nói cả ngàn lần với anh chị mình thì ổng bả cũng coi mình như cỏ rác. Vì ba mẹ mình cũng đã lớn tuổi rồi, mình thì đã lớn, mỗi lần thấy ba mẹ làm thuê cho anh chị mình dậy sớm thức khuya lại còn bị chửi mình đau lòng lắm luôn. Vậy mà 1 tháng không có một đồng lương nào.
Bây giờ mình rất muốn nghỉ học để đi làm kiếm tiền thuê cho mẹ căn nhà trọ và có vốn để ba mẹ bán rồi có cái để dành khi đau ốm, nhưng nghĩ đi nghĩ lại việc học ảnh hưởng đến tương lai của mình nên mình không thể nghỉ được. Hiện giờ mình vẫn đi làm nhưng chỉ làm part-time và chỉ nuôi được bản thân mình được thôi. Và bây giờ mình muốn trình bày vấn đề của mình là: 
Có bạn nào có thể có khả năng cho mình mượn (7-10tr). Mỗi tháng mình sẽ trả bạn 1tr và để đền ơn bạn mình sẽ dạy kèm cho bạn tiếng Pháp miễn phí trong suốt quá trình trả nợ . 
Mình hứa sẽ  không bốc hơi và trả đủ và thề là sẽ TRẢ. Các bạn có thể yêu cầu mình lấy giấy tờ gì ra bằng chứng hay làm hợp đồng thỏa thuận ( miễn sao không ảnh hưởng đến thể xác và tinh thần mình là được huhu) . 
Bạn nào có điều kiện thương tình giúp mình vượt qua khủng hoảng này thì gửi vào mail: doigiayvai99@gmail.com",,status,,2017-02-23 08:03:24,55,1,0,53,2,0,0,0,0
354821057967236_1215416761907657,"#s40307
[SG]
Tình hình chiều hôm 21/2 mình mới học xong thì xuống cái đám bàn ghế ở tầng trệt B2 ngồi chơi, nói chuyện với bạn với bấm đt xong lên phòng ngủ ngủ. Ngủ đã mắt thì mình dậy đi về thì phát hiện là quả bóp tiền đã ko còn trong túi quần. Trong cơn hoảng loạn mình teleport ngay sang cái chỗ mình ngồi lúc chiều thì ơn giời bóp vẫn còn đây. Cơ mà mở bóp ra thì giấy tờ các kiểu còn y nguyên, nhưng 300k cuối cùng trong bóp thì...ahihi đồ ngốk'sss (mất mẹ rồi). Mình vừa tiếc tiền vừa kiểu: ""lầy vl, thấy trong bóp còn có 300k của hs nghèo vượt khó cũng lấy :(((""",,status,,2017-02-23 08:02:06,98,8,1,73,1,0,22,2,0
