status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
210152259125476_800889443385085,"#cfs910
""Hồi mới vô trường này là tao đã thích mày rồi :) Mà ngặt nỗi mày có bồ rồi, thế là tao cứ  ôm hy vọng chờ mày chia tay bồ rồi tao có cơ hội an ủi rồi sau đó tỏ tình với mày...:)
Mà đời không như mơ...
Tao chờ mày 3 năm rồi mà sao mày vẫn chưa chia tay ?:(((
Giờ tao phải làm sao đây ?
Nhiều khi tự cảm thấy tao thật mạnh mẽ nhưng có lẽ đến lúc nên buông rồi..
Hạnh phúc nhé ! Tuổi trẻ của tao <3""",,status,,2017-02-22 09:31:10,193,2,3,182,11,0,0,0,0
210152259125476_800889300051766,"#cfs909
""Giải bóng đá 11 còn 1 tuần nữa là khởi tranh rồi, không biết mọi người sao mà mình thấy hào hứng quá. Hào hứng từ bảng đấu đến chất lượng của giải lần này nữa. Khi nhìn vào nhánh đấu mình thấy phấn khích nhưng cũng khá đáng tiếc vì 2 đội mạnh nhất khối 11 lần này gặp nhau ngay vòng đầu rồi. B5 và B4 chắc là cặp đấu moị người mong đợi nhất phải không ?? B5 thì không cần phải nói rồi, là tập thể sở hữu 1 đội hình với những Quang Linh, Duy Anh, Lê Phong, Minh Khánh hay cả Dương Nam nữa đều là những cầu thủ có chất lượng rất tốt. B4 cũng không kém cạnh với cặp đôi là Thành Trung và Phạm Huyên, bên cạnh đó còn có thủ môn số 1 đội tuyển là Khôi nữa. Rõ ràng đây là cặp đấu một chín 1 mười <3 Ngoài ra nhánh đấu này còn có B67 với các hạt nhân là Khoa(B6) và Kiệt(B6) cùng với dàn cầu thủ đồng đều cũng là 1 đội rất mạnh. Tất cả những cái đó đã tạo nên nhánh đâu đầy hấp dẫn.Ở nhánh còn lại rõ ràng là rất cân bằng vói sự góp mặt của các tập thể BH, BAT, BL11, B910 hay B112 và cả B8 nữa. BH chắc chắn là 1 đội đáng gồm với dàn cầu thủ cân bằng cùng sự chiến đấu dũng mãnh của từng cấu thủ BH. BAT cũng là 1 tập thể với dàn cầu thủ đồng đều và sức chiến đấu vô hạn. Còn với BL11 với 2 đầu tàu là Thành Nam(B11) và Gia Bảo(BL) cũng là 1 tập thể đầy nhiệt huyết. Và còn các chú ngựa ô khác đang sẵn sàng tạo nên bất ngờ. Minh thấy rất hào hứng với giải bóng đá 11 năm nay. Còn mọi người thì sao ?? Mình hi vọng mọi người sẽ cổ vũ thật nhiệt tình và tạo nên bầu không khí hào hứng ở giải năm nay. Chúc các đội sẽ thi đấu thật tốt <3 """,,status,,2017-02-22 09:01:40,148,9,16,140,5,0,2,0,1
210152259125476_800888983385131,"#cfs908
""Dành cho mấy bạn hay đi học bằng bus 65, nhất là vào giờ cao điểm.
Chẳng là chiều nay khi đi học về mình có gặp một tên *dê cụ*, hắn khoảng 35 tuổi, đầu hói và mặc đồ khá lịch sự.
Lúc đó mình đang ngồi ngủ trên ghế ngay sát đường đi thì có cảm giác ai đó đang nắm cánh tay và xắn tay áo mình lên, nhưng lúc đó xe rất đông nên mình cũng chỉ nghĩ là do cọ xát vì chen lấn thôi. Sau đó mình giả bộ thức dậy lấy nước ra uống và ngồi sát vào thì cánh tánh tay đc che bởi cái áo khoác mà hắn đang cầm cũng tự nhiên tịnh tiến vào theo. Lúc đó hắn đưa tay lên cổ áo của mình rồi nhanh chóng luồng vào trong, r theo phản xạ mình chỉ kịp nắm tay hắn bẻ thiệt mạnh vào làm hắn rụt lại r trợn mắt nhìn mình. Vừa khi ấy bus thắng gấp thì hắn cố tình ngã hết vào người mình và điều ghê tởm hơn nữa là cái KHOAI đang CHÀO CỜ của nó chỉa ra ngay trc mặt mình các bạn ạ, mình thề là lúc đó nếu bình tĩnh thì mình đã đạp cho koo nó sml để trở về vị trí bằng phẳng ban đầu rồi. Nhưng vì quá bất ngờ nên mình chỉ kịp đẩy nó ra nói: tới trạm của chú r chú xuống đi, nhưng hắn ko đi mà còn tt dựa vào thành ghế. Mình mới kiu tiếp viên đến thì hắn mới giả vờ gọi điện và xuống trạm.
Viết cfs này ko phải để cảnh báo cho mấy bạn NTH nữa vì chuyện này xảy ra trên bus ko phải là chuyện quá mới, mà mình muốn viết để nói vs các bạn là * Nếu các bạn gặp TH như mình thì đừng chỉ hành động nhẹ nhàng như vậy, mà phải làm cho nó bẻ mặt ko có lỗ chui, phải dùng chân hay tay gì đó ko biết, bóp cho nó lãi dúng và vô sinh đi!!!!.... Bởi những thằng đi đâu cũng chào cờ, biến thái và dê sòm như vậy ko đáng để hít chung bầu không khí với chúng ta.*
Vì một tương lai chỉ có MÁU NGƯỜI :*)""",,status,,2017-02-22 08:38:07,231,21,24,206,9,3,12,1,0
210152259125476_799848270155869,"#tìmngười
#khẩn

""Ad ơi. Em nhờ ad giúp em này với ạ. Chuyện là 6h ngày 17/2 vừa qua lớp em có một bạn bị mất tích. Tụi em đã liên hệ với bạn qua điện thoại nhưng không được. Tới tận hôm nay tức sau 2 ngày rồi mà bạn vẫn chưa về. Gia đình bạn ấy đã đi tìm và liên hệ với các cơ quan chức năng vào cuộc nhưng vẫn chưa có thông tin gì thêm.đây là ảnh của bạn. Bạn tên Thanh Phúc,  Khi đi Phúc mặc áo sơ mi có logo trường THPT Gia Định, quần tây, áo khoác màu đen. Dáng người em mình nhỏ con, hơi ốm, da hơi ngâm.bạn Phúc là một học sinh giỏi ngoan hiền ích nói có nhiều thành tích cao.Gia đình và bạn bè hiện đang rất lo cho bạn mong ad nhờ các mem giúp em tìm kiếm hay cho em xin thông tin khi có thấy bạn ạ.nếu có thông tin quan trọng thì gọi trực tiếp vào số chị bạn Phúc 0928473094 này ạ. Em cảm ơn ad và các mem.""",Timeline Photos,photo,https://www.facebook.com/NthersConfessions/photos/a.210553622418673.46938.210152259125476/799848270155869/?type=3,2017-02-20 05:57:32,206,0,64,189,1,0,0,16,0
210152259125476_799379273536102,"#ask
Em thấy NTH Lửa Kịch - The Fireworks của trường mình ít diễn quá. Em biết là câu lạc bộ mới thành lập thì cũng gặp không ít khó khăn, nhưng mà vở kịch Mùa Nắng các bạn và các anh chị lần đầu diễn trên sâu khấu rất được mọi người ủng hộ. Vậy sao câu lạc bộ không quay clip, làm phim ngắn, cố gắng ra nhiều sản phẩm cho mọi người cùng thưởng thức ạ ???",,status,,2017-02-19 08:15:00,202,9,2,187,15,0,0,0,0
210152259125476_799377806869582,"#cfs907
C9-05 ơi thích bạn quá mà bạn có người thương r :'( Đập chậu cướp hoa được không ta? :3",,status,,2017-02-19 08:00:04,130,3,0,123,4,0,2,1,0
210152259125476_798883426919020,"#cfs906

NGÀY CHỜ, THÁNG NHỚ, NĂM MONG
Từ văn chương vụng về của cô bé chuyên Lý...
Gửi đến chàng trai năm ấy – chàng trai tuổi 16 em gặp có thể đi với em suốt cuộc đời...

Đã 5 năm trôi qua rồi anh nhỉ? Một khoảng không quá dài nhưng cũng không quá ngắn để thời gian có thể xóa mờ những kí ức đong đầy yêu thương nơi sân trường năm ấy – có anh, có em và có nắng gió Nguyễn Thượng Hiền.

Em – Cô bé chuyên Lý lớp 10, mang theo bao kỉ niệm của ngôi trường cấp 2 và niềm vui khó tả khi được bước vào ngôi trường mới mang tên Nguyễn Thượng Hiền, em không có gì nổi bật, không có gì đặc sắc, không hơn gì những người con gái khác... 

Anh – Cậu học sinh lớp 12 trưởng thành, cuốn hút với vẻ ngoài cool boy, làn da trắng, đôi mắt rũ buồn, mũi cao, nụ cười ấm áp khiến bao cô gái xao xuyến... Với chiếc áo khoác trắng xắn tay áo cài 2 khuy cùng dáng người thư sinh, anh nổi bật giữa bao nhiêu người con trai khác dưới sân trường và thu hút mọi ánh nhìn... Anh giỏi thể thao, đá cầu rất hay lại còn biết đánh đàn guitar nữa... Không những vậy anh còn khá nổi tiếng trong trường, thân thiện với đàn em lại còn nói chuyện rất tâm lý...

Một chiều thu trong xanh với gió thổi nhè nhẹ, nắng vàng rọi qua kẽ lá làm rực sáng một góc sân - nơi hàng ghế đá anh đang ngồi...
 Em vô tình bắt gặp anh đang đọc sách, cùng gương mặt lạnh lùng và nụ cười mỉm khi nói chuyện với bạn...
 Tim em loạn nhịp... trong giây phút ấy, em biết anh là người em đang tìm kiếm...
 Em say nắng anh mất rồi...!!!
 Nắng chiều Nguyễn Thượng Hiền cũng không bằng nắng trong lòng em...!

Kể từ ngày đó, giờ ra chơi nào em cũng ngắm anh từ xa, đã nhiều lần em tìm cách bắt chuyện làm quen...
Nhưng rồi lại từ bỏ ý định đó... Vì em ngại, em ngại phải chủ động, em ngại xin số điện thoại hay nhắn tin facebook cho anh khi anh còn chẳng biết đến sự tồn tại của người con gái này.
Điều đó cứ làm em phải dằn vặt mãi bao ngày... Chỉ vì ngại... Chỉ vì không dám làm quen...
Em... em đã vụt mất cơ hội rồi...

Và, như mọi chuyện đã sắp đặt... Em nghe lũ bạn bàn tán nhiều hơn về anh.
Hơn thế nữa... 
Đó là... đó là anh đã trở thành người yêu của đứa bạn cùng lớp em...!

Nó và anh xứng với nhau lắm !!! Cả về ngoại hình lẫn tính cách. Nó giới thiệu em với anh... mà lòng em đau thắt...
Bao nhiêu tình cảm... Em đành chôn vùi trong tim, cố tỏ ra vẻ bình thường mỗi khi gặp anh và thầm chúc phúc cho hai người. 
Em dặn lòng không được thích anh... nhưng mỗi lần anh xuất hiện trước mặt em, em lại càng không thể quên. 
Chỉ là cơn nắng nhẹ thoáng qua ở thời áo trắng thôi mà, chỉ là yêu người yêu của bạn thân thôi mà, rồi cũng sẽ quên mau thôi, cơn nắng đầu tiên trong lòng em..!
Có lẽ...chúng ta không thuộc về nhau...!

Một năm, rồi hai năm...

Thời gian thấm thoát trôi qua, em học đại học, em cũng bận việc học nhiều hơn nên không mấy liên lạc với anh trên facebook, em nghe tin anh và cô bạn đã kết thúc, anh đang độc thân.
 Em rối bời khi lòng lại nghĩ đến anh, cảm giác thấy nick facebook anh sáng lên nhưng không dám nhắn tin...
 Liệu anh có hiểu được tâm trạng của một đứa con gái yêu thầm một người mà không dám tiến tới gần người đó hay không...? 
Anh có hiểu cảm giác của một người không là gì với crush của mình là như thế nào không...?

Mùa khai giảng năm ấy, em là cô sinh viên năm nhất, về lại Nguyễn Thượng Hiền, những tưởng chỉ thăm lại thầy cô và bạn bè, nhưng những kỉ niệm vẫn còn đó, góc sân nơi hàng ghế đá năm nào anh ngồi, có 1 cô gái đã luôn dõi theo anh, anh có biết không? 
Khóe mắt em chợt cay khi nhớ lại, em ngốc quá phải không anh? Phải chi em đủ tự tin và mạnh dạn nói rõ tình cảm em đã trao anh, thì có lẽ, chuyện mình giờ đã khác...
Nhưng em bây giờ không còn là em của ngày hôm đó nữa, em không cho phép mình mắc sai lầm đó thêm nữa...
Em đã thấy anh... Anh bây giờ không còn là cậu học trò dáng vẻ thư sinh của ngày xưa nữa, nhìn anh chững chạc và đàn ông hơn rất nhiều...
Em cảm thấy mình phải hành động, em phải cho anh biết tình cảm của em dành cho anh nhiều tới đâu... 
Em lấy hết can đảm để gọi tên anh... Nhưng anh không nhận ra em, anh không nhớ em là ai... có lẽ em như cô bé Mitsuha đi tìm Taki của đời mình...
- ""Anh có còn nhớ em không ?"" – Em hỏi.
- ""Ơ... em là...?"" – Anh trả lời ấp úng.
- ""Em là bạn của X đó anh...""
- ""À, anh nhớ rồi, chào em !"" – Anh cười
Từ ngày đó anh với em nói chuyện với nhau trên facebook nhiều hơn...
Em với anh hẹn gặp nhau, mình nói rất nhiều thứ, như chưa từng có khoảng cách vậy...
Sau buổi gặp gỡ ấy là những lần hẹn đi ăn, những đêm thức khuya tâm sự đến 2,3h sáng...
Anh chạy từ trường anh đến trường em mất hơn 30 phút trong cái nắng chang chang giữa lòng thành phố để đón em, rồi lại chạy ngược về gần trường anh để đi Russia Market cùng anh...
Anh chờ em tan học, chờ em họp hành, có khi qua trường không báo trước muốn em bất ngờ để rồi không gặp được em phải đi ăn trưa một mình ...
 Anh hay chở em đi ăn cá viên ở nhiều nơi – món em rất thích ăn từ còn nhỏ. Anh bảo đùa rồi sẽ có ngày anh mở quán bán cá viên chiên vì em, để mỗi khi muốn ăn không cần phải đi xa nữa, vì đã có quán của anh...
 Anh dạy em nhiều thứ, để em trưởng thành hơn mỗi ngày, tình cảm em trao anh cũng nhiều dần theo năm tháng...
Ở bên anh nhiều, em lại càng hiểu rõ về anh hơn... Anh không chỉ là con người mà em đã từng được nghe kể, anh còn giỏi nhiều điều hơn em tưởng rất nhiều... 
Anh suy nghĩ chín chắn, nói chuyện ân cần, tính tình lại hiền lành, tốt bụng, chưa kể thông minh giỏi xử lý mọi việc...
 Điều khiến em cảm thấy anh thật đặc biệt đó là vô cùng ga-lăng, chu đáo, đi ăn chung không bao giờ cho em trả tiền, đi đâu cũng đi trước mở cửa cho em, nhắc ghế cho em ngồi, đi ăn thì lau chùi muỗng đũa sạch sẽ rồi đưa cho em, em vừa ăn xong là đã lấy khăn giấy cho em lau miệng, đi xe riêng thì luôn dắt xe cho em trước, đi xe chung thì lấy mũ bảo hiểm đội cho em, đi qua đường luôn đứng phía xe chạy rồi dắt em qua đường lại biết tế nhị nên chỉ nắm cặp em dẫn qua... 

 Nói chuyện nhiều mới biết anh là một con người đã trải qua bao sóng gió cuộc đời, đã đi làm nhiều nơi, nhiều kinh nghiệm làm việc nên có nhiều sự hiểu biết... 
Đi với anh, em không bao giờ sợ lạc, bởi vì anh biết rất là nhiều đường... Em lại càng yên tâm hơn khi biết anh còn biết võ nữa...
Việc hiểu anh hơn khiến em đi từ hết bất ngờ này tới bất ngờ khác... Nhất là việc em không nghĩ anh có thể nấu ăn ngon như vậy...
Giờ thì em đã biết không chỉ là say nắng nữa, mà em đã yêu anh mất rồi...!

Nhưng cuộc đời thật trớ trêu...
Anh không bao giờ thể hiện tình cảm của mình ra, em không thể biết được anh nghĩ gì... 
Anh càng tốt với em bao nhiêu thì lại khiến em càng muốn biết rằng mối quan hệ của mình là gì...? Là anh em, là bạn bè hay người yêu ?
Em sợ lắm anh có biết không...? Nhiều khi em tưởng tượng ra cảnh anh nói với em rằng : ""
Anh chỉ xem em như là một đứa em gái""
Chắc em sẽ đau lòng lắm... Nhưng thà đau một lần rồi thôi, còn hơn cái cảm giác thật sự khó chịu này...
Em lấy hết can đảm ra hỏi anh :
""Sao anh lại tốt với em vậy? Sao anh phải dành nhiều thời gian, tiền bạc, công sức vì em vậy?""
""Anh chỉ muốn giúp em thôi  Với lại, anh chẳng bao giờ xem em là bạn..."" – Anh trả lời.
Câu trả lời vô thưởng vô phạt của anh khiến em suy nghĩ rất nhiều...
Sau lần hỏi đó, anh deact facebook suốt 5 tuần mà không nói với em một lời nào... Em nhắn tin hỏi anh thì anh chỉ bảo anh có nhiều lý do để deact lắm...
Tháng ngày không có anh, em lại hụt hẫng, không biết anh bận thật hay muốn tránh mặt em, không biết tìm anh bằng cách nào vì trước giờ chỉ toàn anh chủ động tìm đến em...
Em không nghĩ, anh lại quan trọng với em như thế, có anh bên cạnh đã như một thói quen.
Mối quan hệ giữa mình là gì vậy anh? Không là bạn bè thì là em gái, hay người thương? Anh có biết, em thích anh nhiều lắm...
Cái cảm giác khi mà một người thân thuộc với bạn chợt biến mất thật không dễ dàng tí nào...
Không biết rằng hình bóng của em có còn trong tâm trí anh hay không... Hay là đã lạc trôi nơi đâu...
Ngần ấy thời gian đợi chờ có thể là quá lâu với người khác, nhưng với em, để có anh ở bên cạnh, dù có lâu hơn nữa em vẫn sẽ đợi. Em không còn là cô bé rụt rè nhút nhát của năm xưa nữa, tháng ngày bên anh đã làm em thay đổi, em chủ động hơn, em đã tìm đến anh để nắm giữ hạnh phúc đời mình.
Em không bao giờ nghĩ phía sau một cô gái như em lại có một người đàn ông tuyệt vời như anh...

Giờ đây, em đã được bên anh...
Anh cũng đã thực hiện lời hứa của mình, anh đã mở được quán cá viên chiên Tuyệt như anh nói. Không những vậy, anh còn mở ngay số 14 Lê Bình gần Nguyễn Thượng Hiền, vì nơi đó đã mang em đến với anh. Anh bảo, anh cũng hi vọng sẽ giúp cho nhiều bạn trẻ, đàn em Nguyễn Thượng Hiền khác có thể giữ đúng lời hứa với người thương của mình, đừng vì thời gian hay khoảng cách mà quên đi những kỉ niệm đẹp của một thời áo trắng. Anh cũng muốn giúp các bạn cựu khác có thể tìm gặp nhau, hay chỉ đơn giản là hẹn hò và thưởng thức món ăn đã không thể thiếu khi nhắc đến chuyện chúng mình. Mong những cặp đôi đang yêu nhau sẽ mãi hạnh phúc, hay những bạn đang FA sẽ tìm được nửa kia. Hãy mạnh dạn lên bạn nhé, để thời áo trắng không nhạt nhòa chỉ vì thiếu bóng dáng người ấy cạnh bên.

 Cảm ơn Nguyễn Thượng Hiền đã cho em gặp anh, cho em đau buồn bởi những nhớ thương và chờ mong, để rồi tìm được hạnh phúc nơi sân trường năm ấy....

Dòng phô mai chảy dài trong viên ấy, chất chứa bao yêu thương anh dành cho em. Mỗi ngày anh đều cố gắng để quán phát triển tốt hơn, để khi tấm ảnh này xuất hiện trước mọi người, em có thể tự hào vì anh đã làm ra nó với tất cả tình cảm chân thành nhất. Hôm nay là ngày kỉ niệm mình yêu nhau, mong anh đọc và đừng chê cười sự trẻ con trong lời văn của em. 
Chúc chàng Luật sư tương lai của em thật thành công và thật hạnh phúc bên em, anh nhé...
Em yêu anh!",Timeline Photos,photo,https://www.facebook.com/NthersConfessions/photos/a.210553622418673.46938.210152259125476/798883426919020/?type=3,2017-02-18 09:30:01,164,9,10,129,25,0,10,0,0
210152259125476_798781523595877,"#cfs905

Sao mỗi lớp của NTH chúng ta không bình chọn ra 3 trai xinh 3 gái đẹp rồi đăng lên hội trai xinh gái đẹp NTH nhể :))",,status,,2017-02-18 09:00:05,233,18,2,218,6,0,5,0,4
210152259125476_798782053595824,"#cfs904

""To G.Lạc a1
Let's go Ask.fm :)""",,status,,2017-02-18 08:00:02,106,2,0,104,1,0,1,0,0
210152259125476_798286393645390,"#ask
""Lời đầu tiên em xin đính chính ko ý gây war gì cả, vì đây là câu hỏi khá nhạy cảm, nên em xin nhờ cfs ạ ( cám ơn admin nhiều ạ ^^ ) ...chuyện là em hơi tò mò vì trước khi tham gia cast vào 1 CLB nào đó mn thường hay rất ấn tượng và thần tượng thành viên clb đó vì những gì họ làm được (như Chớp và Lcd thì nhảy, BBC và 9x thì hát, bbox rap, Lửa thì diễn xuất) vậy khi cast đậu và là thành vien ở đó có được khả năng tương tự liệu các bạn có còn ham thích ấn tượng như ban đầu và còn ngưỡng mộ các tiền bối mình chứ ạ ? Em cám ơn ạ.""",,status,,2017-02-17 09:35:00,149,8,3,144,4,0,1,0,0
