status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
465230273544818_1292740664127104,"#4 - 16.02.2017

#tuithuongnguoita

Tao nghĩ là mày không bao giờ đủ khôn để nhận ra cái cfs này là của tao viết đâu nên bây giờ tao viết đây.

Nói thật với mày, sau 17 năm sống trên đời tao chưa bao giờ có ý định móc 10 ngàn đi mua giấy viết thư về nhà ngồi vào bàn học tỉ mỉ nắn nót viết thư cho ai. Sau 17 năm sống trên cuộc đời này tao luôn tâm niệm viết thư tay để thể hiện cái tâm bự là thứ xàm xí nhất trên đời. Sau 2 cuộc tình nát như chuối chín, tao nghĩ tình yêu là thứ xàm xí thứ hai. Mà mày biết rồi đó, cái duy nhất làm mày nổi cáu với tao là cái tính bướng bỉnh của tao nên chuyện gì ra chuyện đó, tâm niệm là ""có chặt đầu bà đi bà cũng không đổi đâu"". 

Thế rồi, định mệnh.

Tao đi viết thư cho mày.

Tao tốn tiền đi mua giấy viết thư, tốn 8000 kcal năng lượng ngồi nắn nót từng chữ để viết thư đẹp cho mày.

Định mệnh, trời đánh sao tao lại đi thích mày.

Tao biết chuyện bạn thân thành bồ bây giờ nhan nhản trên báo. Tao cũng thừa biết mày chẳng quan tâm tới mấy thứ ấy vì mày không có khái niệm thích bạn thân. Tao lúc trước cũng chẳng khác gì. Hơn ai hết tao biết thích mày là ngõ cụt.
Nhưng, mày có thể suy nghĩ lại được không?

Lúc trước mày quàng vai bá cổ tao, giả vờ xưng là người yêu tao với người khác, tao rất phai, tao còn không buồn để tâm. Nhưng bây giờ chỉ cần mày xoa đầu tao, tao đã muốn tắt thở. Lúc trước nhìn mày tao chỉ cảm thấy đáng thương vì mày đẹp trai mà không ma nào thèm thích, bây giờ chỉ một cái chớp mắt của mày tim tao đã rơi rụng như chuối chín cây. Lúc trước tao luôn chê mày nhạt nhẽo, đến tin nhắn của mày còn không thèm rep, bây giờ chỉ cần một tiếng ""này con lợn"" của mày, sóng điện đã chạy tán loạn trong người tao. Lúc trước mỗi lúc mày buồn tao chỉ đơn thuần là an ủi, động viên, bây giờ chỉ một tiếng than ""Hôm nay tao mệt vl"" của mày là tao như ngồi trên đống lửa. Lúc trước với tao mày như thằng bệnh, bây giờ mày như Ji Chang Wook. Lúc trước gặp mày không cần để ý chải chuốt, bây giờ chỉ là cái hẹn qua đón đi học thì bôi son, xịt nước hoa khắp người. Lúc trước tao khác, bây giờ tao khác.

Tao nói thế này mày có hiểu gì không thằng ngu? Tao thích mày rồi đấy!!!!

Mày biết một con tính đàn ông như tao chả bao giờ ủy mị viết thư tình cho thằng nào, nhưng tao đã viết và gửi cho mày đấy. Mày đừng hòng từ chối tao bằng mấy cái lí do củ chuối của mày. Nhận thư xong thì đến nói ""Tao tình nguyện"" và ôm tao một cái ngay nghe chưa thằng kia.
Đừng có lại cái kiểu lạnh tờ ""Lại ham đọc ngôn tình à"" như mọi hôm đấy! 

À, tao nói trước là mày đừng có ý kiến ý cò về cái tem Tầm Gửi. Hôm đó tao không đeo kính nên đọc không ra chữ, bởi vậy mới dán ngược. Hôm nay thấy con bạn chăm chút tỉ mỉ tao mới nhận ra sự ngu của mình, nhưng mày mà bép xép là vỡ mồm nhé.",Timeline Photos,photo,https://www.facebook.com/LhpConfessions/photos/a.472197659514746.1073741825.465230273544818/1292740664127104/?type=3,2017-02-16 10:22:27,245,0,28,179,44,1,21,0,0
465230273544818_1291542580913579,"#03 16/02

Valentine 2017, người ta tặng tui chocolate vì không biết ngày 14/2 con gái sẽ tặng chocolate cho con trai :) 
2017, valentine đầu tiên tui nhận được chocolate.
2017, valentine đầu tiên tui tặng chocolate cho một người.
Tui đã nhét vào thanh chocolate của người ta mảnh giấy trong đó có dòng chữ #bmv, người ta dịch mãi không ra. Mãi một lúc lâu, người ta mới biết. Là Be my valentine đó. 
Người ta bảo người ta thích #bme hơn. Tui cũng vậy đó :)
Người ta nói người ta thương tui.
Tui cũng muốn nói với người ta là #tuithuongnguoita lắm ❤
#bmv #bme #bemine❤",Timeline Photos,photo,https://www.facebook.com/LhpConfessions/photos/a.472197659514746.1073741825.465230273544818/1291542580913579/?type=3,2017-02-16 10:00:12,145,0,5,116,23,0,1,5,0
465230273544818_1291541414247029,"#02 16/02

#tuithuongnguoita
Tớ với cậu, gặp nhau, nhớ nhau, thương nhau, và rồi rời xa nhau. Chúng ta chia tay, không phải vì đã hết tình cảm, mà vì khác biệt quá lớn, chúng ta không hề tồn tại trong thế giới của nhau, vì thế nên dù đau lòng vẫn chấp nhận buông tay. Tớ nhớ tớ đã có dự định gì cho sinh nhật cậu, cho Valentine, nhưng rồi mọi thứ đổ vỡ hết. Tớ nhớ cậu lắm. Tớ đã khóc rất nhiều. Tớ vẫn luôn hi vọng vào một ngày cậu sẽ lại đến mang tớ về cạnh bên, nhưng mà không được đâu cậu nhỉ? Tớ vẫn rất biết ơn vì thời gian cậu bên cạnh tớ, dù không nhiều nhưng tớ vẫn nhớ kỹ từng điều nhỏ nhặt nhất. Cảm ơn vì chúng ta đã không kết thúc bằng việc block nhau trên Facebook, vì đã để tớ còn cơ hội nhắn cho cậu với tư cách của một người bạn, để tớ nhìn thấy cậu mỗi ngày. Cảm ơn cậu vì tất cả. Happy Valentine's <3",Timeline Photos,photo,https://www.facebook.com/LhpConfessions/photos/a.472197659514746.1073741825.465230273544818/1291541414247029/?type=3,2017-02-16 09:43:42,162,0,12,125,20,0,0,17,0
465230273544818_1291540447580459,"#01 16/02

#Tuithuongnguoita
Hai đứa từng nói với nhau là muốn cấp ba sẽ có một mối tình vắt vai. Mình thì gần ra trường rồi, người ta thì còn một năm cuối. Cũng thách thức nhau xem ai sẽ có bồ trước, xong rồi cuối cùng tự hốt nhau luôn =)))
Anh tin vào định mệnh, đã là định mệnh thì gặp trước hay sau gì cũng vậy <3
Thương em!",Timeline Photos,photo,https://www.facebook.com/LhpConfessions/photos/a.472197659514746.1073741825.465230273544818/1291540447580459/?type=3,2017-02-16 09:21:40,179,0,3,154,22,0,3,0,0
465230273544818_1290007084400462,"#07 15/02

""#tuithuongnguoita
Gửi cậu, lớp trưởng lớp tớ.
Thật ra, với một chàng lớp trưởng hotboy như cậu, nổi tiếng như cậu thì đứa con gái như tớ sẽ chẳng là gì. Cậu không thích tớ, hoàn toàn không. Nhưng tớ thì ngược lại. Cậu là cậu bạn kế bên, là chàng lớp trưởng yêu quý, và là người tớ thương. Dù gì đi nữa, dù cậu có thích tớ hay không đi nữa, tớ vẫn mong cậu sẽ mãi coi tớ là bạn nhé.
Chàng lớp trưởng tớ thương.""",Timeline Photos,photo,https://www.facebook.com/LhpConfessions/photos/a.472197659514746.1073741825.465230273544818/1290007084400462/?type=3,2017-02-15 09:45:19,100,1,2,89,11,0,0,0,0
465230273544818_1290721687662335,"#06 15/02

[BĂNG QUA ĐƯỜNG CŨNG BỊ SÀM SỠ] 
>>Mình viết cfs lên đây bởi vì mình chẳng biết nên nói với ai nữa cả. Có lẽ mình sẽ gọi số hotline nào đấy. 
>>Chiều ngày 14/2 khoảng 5h30-5h45 mình đi bộ băng qua đường từ Lý Thái Tổ sang công viên Âu Lạc. Lúc đang dừng giữa lòng đường chờ xe du lịch lớn đi qua, mình bị 1 ông già nhéo ngực. Lúc đó mình chỉ nhìn bên trái và ko hề biết có người bên phải mình. Lúc mình quay qua thì ổng đứng sát bên với tư thế khoanh tay. Theo phản xạ mình chỉ đánh ổng vào lưng khi ổng vượt qua mình (và mình nghĩ cú đó nhẹ như khều, mình hận ts lúc đó ko phang vào đầu ổng). Xong mình trơ ra đi tiếp để ổng đi. 
>>Mình thề là suốt đoạn đường còn lại mình ức dữ dội và cố ko khóc. Mình xưa giờ ko giỏi phản xạ miệng, đầu óc nói năng chậm chạp. Mấy bạn cũng biết ngày đó giờ cao điểm xe đông cỡ nào. Mình thì lúc đó chỉ nghĩ làm lớn thì mắc công, chưa biết chừng ko ai dừng xe lại. Lúc về nghĩ lại nếu mình la lên thì có lẽ người bên công viên còn có thể giúp. Nói chung là việc này làm mình mất hết tinh thần trong 1 ngày lễ vui như vậy.
>>>Ông già đó hôm đó (chính xác là hôm nay lúc mình viết confess 14/2) mặc áo sơ mi màu xanh dương nhạt cũ, quần kaki nhạt, bỏ áo ngoài, đội nón cap đen cũ. Tóc với râu ổng cũng bạc hết, da ngăm. Mình ko thấy dc mặt. Cao cỡ 1m7. Các bạn đi học qua khu vực đó nhớ chú ý. 
>>Mình cũng thường đi bộ quanh khu vực ngã sáu và đây ko phải lần đầu mình bị quấy rối tình dục như thế này. Trước Tết là ở đường Phạm Viết Chánh, khu bán thịt heo quay 1 ông cỡ bốn mấy tuổi nói lời lẽ khiếm nhã với mình. Đầu học kì 1 là ở trạm xe buýt đối diện CircleK, 1 thanh niên cao cỡ 1m55 da ngăm đội nón hai mấy tuổi quẹt con *** vô cánh tay mình, trước đó bắt chuyện hỏi """"xe số 5 ấy 6 cách nhau mấy phút"""". Mình bỏ đi ngay vừa đi vừa lấy nc uống chai rửa tay.
>>Những lần kia chưa có gì quá đà nên mình cũng cho qua nhưng lần này thật sự mình rất sốc. Mình cũng ko ăn mặc hở hang gì (áo thun, quần jean đúng chuẩn hssv). Ko lẽ tại vì áo ôm làm ngực trông bự ra. Nhưng nếu nói vậy chẳng khác nào bảo mặc quần ngắn nên mới bị rạch chân?! Mình thật ko hiểu những thể loại đàn ông đó. Ko có tiền mua thì tự xử đi. Mắc cái chứng gì ban ngày ban mặt tinh trùng lên não ra ngoài đường làm lén làm lút. Mặt mũi danh dự thành cám hết rồi à. Mình đã kiềm chế hết sức để ko văng tục trên đây. 
>>Có lẽ mình nói quá dài rồi. Lần này thật sự khiến mình rất giận vì chuyện càng ngày càng ko chấp nhận dc. Tóm lại mình chỉ muốn nói cho mọi người biết, nhất là các bạn gái để cẩn thận, đừng để như mình. Mình thật sự là quá hiền. Các bạn đi bộ tốt nhất giờ nên đi 2 ng trở lên, tránh đi 1 mình như mình (tất cả những lần mình kể trên mình đều đi 1 mình).
>>Cám ơn ad nếu đăng cfs này và mấy bạn đã đọc. Nếu dc thì hãy chia sẻ cho nhiều ng.",,status,,2017-02-15 09:30:04,476,25,33,369,7,0,3,19,78
465230273544818_1290039114397259,"#05 15/02

""LHVHDG.
Hôm nay mình đã bắt cậu về gian hàng lớp mình được rồi. Lúc kéo cậu về, mình sợ cậu bỏ chạy nên mình đành phải nắm chặt tay cậu mà lôi cậu về. Vui lắm chứ, vì cuối cùng cậu vẫn đi theo mình rồi mua đồ ở gian hàng lớp mình mà không từ chối gì hết, mua xong còn cảm ơn mình nữa. Ghét thật. Cậu cứ dịu dàng như thế thì sao mà mình ngừng thương cậu được chứ.
Nhưng mà, cậu biết gì không?
Lúc mình kéo cậu đi, mình thấy cậu mải kiếm tìm hình bóng người cậu thương trong đám đông và rồi sau đó, mình thấy cậu đi với người thương của cậu.
Mình thấy cậu mỉm cười hạnh phúc khi nhìn thấy tin nhắn của người cậu thương và khi người cậu thương làm những việc nhỏ nhặt cho cậu.
Mình thấy hết đó, còn biết hết chuyện của cậu nữa, mà cậu lại chẳng biết gì cả.
Biết quá nhiều đôi khi lại không tốt, nhưng lỡ rồi, mình phải làm sao đây?""",,status,,2017-02-15 09:15:01,130,0,0,111,5,0,2,12,0
465230273544818_1289228767811627,"#04 15/02

Mình trước giờ vốn dĩ thích ăn socola, thích ăn kem socola, thích uống sữa socola.
Lại hay được cậu trông giống socola.
Mình ăn cậu luôn được không? Không. Cậu là socola duy nhất mà mình không muốn ăn ...
Vì cậu xấu quá =))))",Timeline Photos,photo,https://www.facebook.com/LhpConfessions/photos/a.472197659514746.1073741825.465230273544818/1289228767811627/?type=3,2017-02-15 09:12:35,329,2,21,269,12,1,46,0,1
465230273544818_1289226921145145,"#03 15/02

Thương anh đâu nào em có biết
Dương cầm gõ nhịp lệ tuông sầu
Từng phím từng điệu sao oán hận
Hận lẽ mai đây như người dưng.
**********
To: Họ Trần",Timeline Photos,photo,https://www.facebook.com/LhpConfessions/photos/a.472197659514746.1073741825.465230273544818/1289226921145145/?type=3,2017-02-15 08:59:29,65,0,0,57,8,0,0,0,0
465230273544818_1279672732100564,"#02 15/02

""Đối với tớ thích một người là khi.... =D =D 
Mỗi tối về chỉ cần nhìn thấy tín hiệu facebook của ai kia sáng đèn, mọi mệt mỏi đều cứ thế tan biến hết nhưng đến khi muốn nhắn tin lại ngập ngừng vì chẳng biết nói điều gì.
Giữa dòng người đông đúc dù chỉ là thoáng qua cũng có thể nhìn thấy được bóng dáng quen thuộc kia nhưng đến khi chạy đến chẳng còn ai đứng đó.
Vào những lúc muộn phiền thi cử ai kia sẽ lại khích lệ giảng bài cho một đứa dốt nát như tớ nhưng để cuối cùng tớ lại lắng nghe người đó kể về người khác. 
Cậu rất thông minh rất đáng yêu có lẽ vì thế tớ mới thích cậu 
Trong mắt cậu, tớ biết mình chỉ như một đứa con nít thích nhõng nhẽo luôn muốn cậu giảng bài, làm bài tập giúp khi lười biếng nhưng trong mắt tớ cậu là siêu nhân chuyện gì cũng có thể làm được. 
Nhưng câu biết không """" thích"""" của tớ rất nhẹ rất mong manh và cũng dễ tổn thương. 
Tớ luôn khuyến khích cậu đến với cô bạn đó bởi tớ sợ lời chọc ghẹo từ bạn bè, tớ thua cuộc trước sự nhút nhát của bản thân tớ. Ừ tớ hay cười đó luôn bình thản khi cậu nhắc về điều đó nhưng tớ lại rất buồn và chán nản. 
Vì để thoát khỏi mặc cảm tớ cố gắng học thật giỏi đến tuyệt vọng dù điểm số thấp lè tè 
Vì để xứng đáng với cậu tớ cố gắng đậu đội tuyển
Tớ rất muốn tỏ tình với cậu nhưng tớ sợ mình đã trễ mất rồi ngốc ạ......<3 <3",Timeline Photos,photo,https://www.facebook.com/LhpConfessions/photos/a.472197659514746.1073741825.465230273544818/1279672732100564/?type=3,2017-02-15 08:42:37,145,1,8,119,26,0,0,0,0
