status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
530292533681663_1397254453652129,"#NKCF_5596

""Mưa kìa =))
Mưa đẹp quá đi...
Kh biết tớ yêu mưa từ khi nào nữa =)) chắc từ lúc cậu nói với tớ là cậu yêu mưa đó.... Đúng thiệt. Từ lúc đó mà cơn mưa lạnh lẽo ướt át khó chịu kia đã trở nên đầy sắc màu và rộn ràng hơn... Ng ta nói là khi nhìn bằng trái tim mình, thì mình thấy đc những gì mà mắt thường không nhìn thấy... Sức mạnh trái tim phá tan mọi định luật vật lý mà.... Ừ thì khi mà tớ nhìn vào mưa, tớ thấy cậu =))
Về mưa đó, cậu biết gì hông?
Mưa đẹp ơi là đẹp. Mưa mang tiếng rộn ràng nè, kéo con người ta ra khỏi sự yên tĩnh đến ngột ngạt của mỗi chiều CN cô đơn... Mưa cũng ấm nữa :p cái này chắc chỉ có tớ với cậu hiểu thôi ha....
À, mưa đó, mưa tuyệt vời lắm. Ngày hôm nay tớ nhìn thấy mưa hơi lạ. Mưa nặng. Mưa ghì. Mưa trắng bệch... Có vẻ như mưa cũng cô đơn ha. Cậu không nói tớ điều này lần nào hết... Tớ cứ tưởng ngắm mưa sẽ thấy bình yên thôi...
Lạnh...
Nay tớ mới nghĩ về mưa... Mưa có vẻ giống đời thiệt ha. Kiểu như... khó khăn là mưa. Đau buồn là mưa. Cô đơn cũng là mưa... Có vẻ hợp lí chứ?
Ng ta khuyên tớ là """"sau cơn mưa sẽ có cầu vồng"""". Uhm. Tớ thấy sau cơn mưa này là hết ngày hôm nay rồi. Cầu vồng Năng Khiếu?
Mưa hôm nay đọng lại cho tớ nhiều cảm xúc quá. Tự dưng tớ nhớ ngày đầu tiên hai đứa mình cùng tắm mưa ghê luôn... Ướt cùng nhau cho vui ha :p
Tớ kh biết mưa đến mưa đi thế này là sao... Nếu cậu là mưa, tớ xin là đất, đc chứ?

Tất cả... tất cả chỉ là một tớ nhớ của một chiều mưa. Một tớ nhớ cậu.
Will you still be my fragipane? :(""",,status,,2017-02-23 04:20:08,71,2,2,64,7,0,0,0,0
530292533681663_1388255024552072,"#NKCF_5596

Lời tự thú
Chiều hôm ấy Em lén nhìn nơi anh
Người con trai Yêu những cơn gió lạnh
Muốn đến bên Anh mà sao khó quá
Cũng biết rằng Nhiều khi tim đập nhanh
Là vì có Lắm lúc thấy anh cười 
Dù đã cố Bình tĩnh hết sức rồi
Nhưng không khỏi chƠi vơi khi nghĩ đến
Sắp xa nhau mà chưa nói được câu
E.Y.A.N.L.B.Ơ.",,status,,2017-02-16 07:11:37,62,5,0,55,3,1,3,0,0
530292533681663_1388253267885581,"#NKCF_5595

Vì cậu, tớ sẽ cố gắng học thật giỏi, thật chăm chỉ. Người ta nói con gái nên sống vì mình nhưng từ ngày gặp lại cậu, tớ đã  biết động lực của mình là gì rồi. Nhìn thấy cậu sau 1 năm rưỡi khiến tớ hạnh phúc lắm. Tớ nhận ra cậu ngay khi chúng ta vô tình lướt qua nhau. Cứ tưởng mọi thứ đã qua rồi nhưng đúng là không ngờ có ngày gặp lại. Cảm ơn cậu lại 1 lần nữa xuất hiện trong cuộc sống buồn tẻ của tớ. Tớ sẽ cố gắng thật nhiều để được đi bên cạnh cậu",,status,,2017-02-16 00:00:04,105,1,2,94,9,2,0,0,0
530292533681663_1388251817885726,"#NKCF_5594

 Dù là sớm hay muộn, em vẫn muốn gửi đến anh TQMT với tất cả tấm lòng. 
  14/02/2017 - một ngày đẹp trời, và anh TQMT đã tròn 16 tuổi.
  Trước tiên, em muốn chúc anh sinh nhật vui vẻ, nhiều niềm vui, hạnh phúc, ngày càng đẹp trai, học giỏi... xứng đáng ra dáng 1 soái ca, ít nhất là trong mắt 1 ai đó. 
  Lần đầu tiên em biết anh là qua 1 tấm ảnh, lúc ấy, anh đang cười, trông anh như Brooklyn Beckham phiên bản 16 tuổi. Và từ ấy, nụ cười ấy đã ám ảnh em từng phút từng giây. Cả nguồn sống của em bỗng chốc thu bé lại, vừa bằng 1 cây T🎄. 
    ""Ngày ngày soái ca đi qua sân banh
  Thấy một soái ca chơi banh rất bảnh"" 
  Biện pháp nghệ thuật phóng đại đã được sử dụng qua 2 dòng thơ trên bởi em chưa được thấy anh chơi banh hằng ngày. Nhưng đó chỉ là hiện tại, tương lai là 1 phép nhiệm màu. Và 
   ""Em vẫn tin vào tương lai phía trước 
   Chỉ cần trong tim có một soái ca"" 
 Viết lên những dòng này, thật không dễ đâu. Em muốn gửi đến anh một tấm lòng, chỉ trong mấy dòng thôi, và em tin sẽ có phép nhiệm màu. 
     Của 1 em 17-20 with love tới anh TQMT 16-19 🎄🎄",,status,,2017-02-15 23:04:49,61,4,2,49,1,2,9,0,0
530292533681663_1376144342429807,"#NKCF_5593

Nghĩ lại lúc chụp hình chung với bạn tui giống kiểu chó xin ăn. 
:))
Chạy lại chỗ bạn đuôi vẫy vẫy như con chó con, tất cả chỉ vì muốn chụp chung tấm hình. Xong được tấm hình thì hãnh diện set ava như thể có được vàng vậy. Kiểu: ""Tao được chụp chung với nó nè, trời ơi! "" 
Haha...
Bạn lúc đó kiểu: ""Ừ, được rồi. Cho mày cục xương nè! Vui chưa? Muốn nữa không?""
Haha... nghĩ thấy thằng con trai như mình đúng là hèn cm.
Thậm chí xong bữa đó tui còn hạnh phúc hết mấy ngày liền. Hạnh phúc đến từ sự ảo tưởng.
Hm... 
Ừ mà thôi vậy cũng được. Mấy đứa hèn thì nên câm miệng. 
:))
Mà cuối cùng thì cũng câm miệng thật.",,status,,2017-02-03 03:00:00,74,3,0,63,1,1,8,1,0
530292533681663_1376143849096523,"#NKCF_5592

Cấp 3 ở Năng Khiếu
Thoắt một cái
Chỉ còn là những kỉ niệm thật đẹp của thời học trò mà thôi...
Chẳng biết khi nào bạn sẽ lại được ăn bánh mì mỗi-ngày-một-giá của 2 xe bánh mì trước cổng trường, vội vội vàng vàng bước vô lớp tưởng mình đã trễ ai dè mình lại là người đầu tiên
Cũng chẳng biết khi nào bạn và những-người-bạn cấp-3-đã-làm-nên-tuổi-trẻ-tươi-đẹp-của-bạn lại ngồi ăn căn tin vào mỗi buổi sáng hay buổi trưa, buổi chiều và những buổi giữa giờ đang học (bỗng nhiên mình đói thì mình phải đi ăn thôi!)
Còn nhiều nữa lắm, nhưng tất cả chỉ còn là kỉ niệm ở ngôi nhà Năng Khiếu mà thôi. 
Chúng ta rồi cũng phải lớn mà nhỉ :D",,status,,2017-02-03 00:00:00,216,0,4,189,12,0,1,14,0
530292533681663_1376143495763225,"#NKCF_5591

Mình nhớ xôi đối diện NK. 
Đó là thứ xôi ngon nhất trong đời mình được ăn.
Trước khi ăn xôi NK, mình ghét xôi mặn, vì ai cũng bán khô queo và topping thật tẻ nhạt.
Nhưng hộp xôi NK là một kiệt tác, gạo dẻo và mềm thật mềm. Khoảnh khắc xắn miếng xôi ra, mà gạo còn dính với nhau chưa chịu rời như cheese, khiến mắt mình ngập lên niềm sung sướng. 
Cô bán xôi lại có những thứ topping diệu kì, phủ lên xôi là một quả trứng ốp la lòng đào sóng sánh, một lớp đậu phộng giã mịn, tôm khô nhiễn, thịt nguội chả lụa xắt sợi, pate, xíu xiu nước tương, một ít bơ, cuối cùng là tương ớt. Và đứa hâm nào đó muốn mix thế quái nào cô cũng chiều. Xôi không với phô mai cũng được nữa. Mình thích cá tính đấy của cô. 
Hộp nhỏ 8k
Hộp lớn 10k 
Những năm lớp 10, sáng mình ăn xôi, trưa mình ăn xôi, tối về căn nhà cạnh đó mình cũng mua xôi. Có khi trong giờ học mình chỉ nghĩ về xôi, vui thích mong chờ đến giờ ra chơi và giờ cơm trưa sẽ đi mua xôi. Và mình book lịch nhỏ kế bên.""Lát đi mua xôi nha"" 
Mình ra chỗ cô bán xôi, mình bảo với cô:
 ""cô ơi, 3 năm nữa con ra trường chắc con nhớ xôi cô lắm"" 
cô cười, ""phải hôn, hay quên tui""
""thiệt đó, ra trường rồi, có khi nào thèm quá con chạy ra NK chỉ để mua hộp xôi"". 
Lúc đó nói thiệt lòng, mà đâu ngờ thiệt lòng đến mấy năm sau, chỉ là quay lại không thấy cô bán nữa.
Nhớ xôi, nhớ cô bán xôi dễ thương, nhớ con cô cũng dễ thương.
Những ngày hè học chuyên đề, NK mưa, buồn buồn mình không về,  vào chỗ cô trú mưa, mua xôi, luyên thuyên nói. Mà trời mưa, mua hộp xôi, cô còn cầm ô cho qua đường nữa, cô thương học trò NK thiệt nhiều.
Mình không hiểu sao mình cuồng xôi cô đến vậy. Có khi nào vì thương NK, nên hộp xôi cũng ngon, mà cô bán xôi cũng thấy thương đến lạ, không ha?
G",,status,,2017-02-02 22:28:57,281,14,12,238,33,1,7,2,0
530292533681663_1363985373645704,"#NKCF_5590

02/01/2017
Hôm nay chở bạn đi chơi, vô tình đi ngang qua những đoạn đường mình từng đi hồi còn học NK; là đoạn Nguyễn Tri Phương với những quán chè, trà sữa, đồ lưu niệm; là đoạn Hùng Vương mỗi sáng đi học ngang qua; là đoạn Trần Phú mà mỗi chiều ba hay chở về (hoặc là chở đi học thêm chỗ khác); là đoạn Nguyễn Chí Thanh với Việt Văn, với trường mẫu giáo, với nhà máy bia, với con đường nhỏ nối liền ra Parkson Hùng Vương; là căn chung cư to uỳnh, đứng kế bên, NK của mình trông bé xíu...

""Em có hay về NK chơi không?""
""Gần đây thì không, dạo gần đây trường kỉ cương lắm, em cũng ngại về...""
""Ủa sao tự dưng thay đổi vậy?""
""Em chẳng rõ...""",,status,,2017-01-22 02:00:00,240,3,4,210,11,0,0,18,1
530292533681663_1363982643645977,"#NKCF_5589

Này Hà Nội,
Hệt như Hà Nội, cậu là người con gái đầy hoài cổ, cả bí ẩn lẫn chút đanh đá, nhưng vượt lên mọi thứ ấy, cậu là một con người sống tình cảm, tốt bụng với mọi người. Nhưng có lẽ, những thứ ấy cậu sẽ không dành cho tớ. Cô gái ơi, tớ đã lỡ dại dột đem lòng thương cậu rồi. Nhưng dường như sau tất cả, cậu lại chẳng quan tâm gì đến tớ, sau chừng ấy năm, nhỉ? Dù sao chỉ những tài lẻ vô dụng, những giải thưởng quá đỗi bình thường, sức học còn bất ổn hơn tình hình chiến sự Trung Đông của tớ cũng chả làm cậu ấn tượng gì cả, không bằng những chàng trai đã ngang qua đời cậu. Nhưng tớ vẫn thương cậu, dù cho sao đi chăng nữa. Nên, mong cậu hãy thương tớ, dù chỉ là một ít. Nhé?
Từ Minh Khai từ tận tấm lòng gửi cho S1619 (không biết ghi vậy đúng không nhỉ?)",,status,,2017-01-21 23:00:00,88,2,0,80,6,0,1,0,1
530292533681663_1345516605492581,"#NKCF_5588

""Ở kế bên Năng Khiếu, tớ nói về cậu, tớ nhớ về cậu. Khi ấy nơi này còn đang xây, tớ của bây giờ đang nhìn lại chúng ta ngày xưa ấy, cái thời cậu 17 còn tớ 16
Thời tiết ở Singapore bây giờ thế nào? Cậu bây giờ ra sao? 
Tớ vẫn khoẻ lắm, mập hơn xưa nhiều rồi, đi mưa biết mặc áo mưa, trời lạnh biết mang áo lạnh, cũng biết trong phòng học thì bỏ áo khoác, ra ngoài nắng biết che chắn chống nắng. Thời tiết Sài Gòn hôm nay không mưa
Tớ đang coi lại những cái clip của chúng ta thưởu ấy, có lẽ sau > 5 năm, tớ đã không còn vì cậu mà khóc nữa rồi, hãy yên tâm nhé """"anh trai"""" của tớ
Có 1 ngày tớ đã nói, tớ sẽ chờ cậu, chờ cậu mãi, theo cái giới hạn mãi mãi của tớ. Cũng có ngày, tớ đã nói """"lỡ đâu có 1 ngày cậu sẽ quay lưng lại, và thấy tớ vẫn đứng chờ tại Năng Khiếu, nên tớ sẽ không đi, sẽ vẫn chờ cậu"""". Còn hôm nay, có lẽ kể từ hôm nay, lỡ như có 1 ngày cậu quay lại, thì tớ đã không còn ở đó nữa rồi. Phải hạnh phúc nhé, cậu trai tớ thương, tớ chúc cậu hạnh phúc không phải vì tớ còn thương cậu, chúc cậu hạnh phúc vì ít ra ngày ấy, tình cảm chúng ta giành cho nhau là chân thật
Sự nghiệp đã ổn định, khi nào sẽ là lập thất? 
Thật ra tớ vẫn thương Năng Khiếu nhiều lắm, dù Năng Khiếu không có cậu. Thật ra thì cô ấy rất toả sáng - người đã ở bên cậu khi cậu còn là 1 chàng du học sinh. Thật ra thì tớ không phải yếu đuối, không thương cậu như tớ tưởng tượng
Chúng ta không phải bạn bè, cũng không phải anh em, ít ra chúng ta là những con người đã cùng ăn với nhau những buổi ăn trưa
Thật ra thì tớ rất cảm ơn cậu đã xuất hiện vào tuổi 16 của tớ ""

#sosweetidie",,status,,2017-01-02 00:29:44,210,4,4,173,23,0,1,13,0
